### 格式： <文件名><tab键><译文>
### 如：おかみさん	老板娘
### 文件名不要加.png后缀名
### tab键为制表符\t（不显示），而不是vscode默认生成的4个空格
おかみさん	老板娘
お客	客人
お客１	客人１
アラン	阿兰
アルレヴェリス	阿尔雷维里斯
ウィリアム公	威廉公爵
ウパ	乌帕
エナ	艾娜
エリス	爱丽丝
エルザ	艾尔莎
オーディエンス	观众
カフェの店員	咖啡店店员	
クレア	克莱尔
クロエ	克洛伊
ジノ	吉诺
ジャイ子	技子
ジョズ	乔斯
ジル	姬尔
ジル＆ライカ	姬尔＆莱卡
ジル＆珠子＆マリー	姬尔＆珠子＆玛丽
テオ	提欧
デュルグ	杜鲁格
ノックス議員	诺克斯议员
ハル	晴
ハルの母親	晴的母亲
ハルの父親	晴的父亲
ハル＆レン	晴＆莲
フィオ	菲欧
ペン太	胖太
マキナ	玛奇娜
マリー	玛丽
マリーの母親	玛丽的母亲
マリーの父親	玛丽的父亲
ヨーグの民	约格之民
ライカ	莱卡
ラトロ	拉特罗
リーガン	里根
ルーク	卢克
レン	莲
ロウランド伯	罗兰德伯爵
ローザ	罗莎
ローナ	罗娜
一同	一同
侍従	侍从
側仕え	近侍
八百屋	蔬菜店
兵士	士兵
兵士１	士兵１
兵士２	士兵２
兵士３	士兵３
兵士４	士兵４
剣士たち	剑士们
剣士１	剑士１
剣士２	剑士２
剣士３	剑士３
剣士４	剑士４
博士	博士
友人	友人
四人	四人
国王	国王
声	声音
大司教	大司教
女の子	女孩
女主人	女主人
女子	女子
女子の声１	女子的声音１
女子の声２	女子的声音２
女子学生１	女子学生１
女子学生２	女子学生２
女子学生３	女子学生３
女子学生４	女子学生４
女学生たち	女学生们
女学生１	女学生１
女学生２	女学生２
女性信徒	女性信徒
女生徒１	女学生１
女生徒２	女学生２
子犬	小狗
学士会員たち	学士会员们
学士会員１	学士会员１
学士会員２	学士会员２
学生	学生
学生たち	学生们
学生の連れ	带着学生的人
学生１	学生１
学生２	学生２
学生３	学生３
学生４	学生４
学院生１	学院生１
学院生２	学院生２
学院長	学院长
小さな女の子	小女孩
小さな男の子	小男孩
少年	少年
幼いジル	小时候的姬尔
店員	店员
教会の司祭	教会的祭司
教会衛兵１	教会卫兵１
教会衛兵２	教会卫兵２
教会衛兵３	教会卫兵３
暗殺者	暗杀者
暗殺者１	暗杀者１
暗殺者２	暗杀者２
暗殺者３	暗杀者３
暗殺者４	暗杀者４
暗殺者５	暗杀者５
暗殺者６	暗杀者６
暗殺者７	暗杀者７
村人の女性	村里的女性
犬	狗
王家内通者	王家的内奸
珠姫	珠姬
珠子	珠子
珠子＆ジル＆レン	珠子＆姬尔＆莲
珠子？	珠子？
男	男
男子	男子
男子の声１	男子的声音１
男子の声２	男子的声音２
男子の声３	男子的声音３
男子学生１	男子学生１
男子学生２	男子学生２
男性客	男客人
男１	男１
男２	男２
神剣	神剑
神竜	神龙
老人	老人
老師	老师
聖堂騎士	圣堂骑士
聖堂騎士１	圣堂骑士１
聖堂騎士２	圣堂骑士２
聖堂騎士３	圣堂骑士３
街医者	街医
衛兵	卫兵
衛兵１	卫兵１
衛兵２	卫兵２
襲撃者	袭击者
襲撃者１	袭击者１
襲撃者２	袭击者２
襲撃者３	袭击者３
襲撃者４	袭击者４
襲撃者５	袭击者５
襲撃者６	袭击者６
襲撃者７	袭击者７
解説	解说
謎生物	谜之生物
講師	讲师
貴族１	贵族１
貴族２	贵族２
身なりのいい男	穿着得体的男人
身代わりの女の子	替身的女孩
運営委員	运营委员
酒場のおやじ	酒场的大叔
酔った学生	喝醉的学生
隊長	队长
雑貨屋	杂货屋
露天商	露天商人
露天商１	露天商人１
露天商２	露天商人２
露天商３	露天商人３
青年	青年
黒猫	黑猫
？？？	？？？
